"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chemed Corporation","Chemed","$75,000,000","$0","$75,000,000","2017","20171030","government-contracting-related offenses","False Claims Act and related","","Chemed Corporation and various wholly-owned subsidiaries, including Vitas Hospice Services LLC and Vitas Healthcare Corporation, agreed to pay $75 million to resolve a government lawsuit alleging that defendants submitted false claims for hospice services to Medicare.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","https://www.justice.gov/opa/pr/chemed-corp-and-vitas-hospice-services-agree-pay-75-million-resolve-false-claims-act",""
"Vitas Health Corporation Midwest","Chemed","$200,000","$0","$200,000","2016","20161202","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","","federal","agency action","U.S. Attorney-Eastern District of Michigan","civil","","","","","","","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","https://www.justice.gov/usao-edmi/pr/united-states-settles-health-care-fraud-action-involving-allegations-hospice-care",""
"Roto-Rooter","Chemed","$24,159","$0","$24,159","2011","20110916","employment-related offenses","wage and hour violation","","prevailing wage violation","state","agency action","Pennsylvania Department of Labor & Industry","civil","","","","","","Pennsylvania","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Contained in data obtained on May 10, 2017 in response to an open records request. ",""
"Vitas Healthcare","Chemed","$10,300,000","$0","$10,300,000","2014","20140204","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC359356","BERNADETTE SANTOS ET AL vs. VITAS HEALTHCARE CORPORATION OF","settlement","California","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","https://www.sec.gov/Archives/edgar/data/19584/000115752314000846/a50809562.htm",""
"Chemed and Roto-Rooter Services Company","Chemed","$14,274,585","$0","$14,274,585","2014","20140107","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Eastern District of New York","10-cv-0876","Morangelli et al v. Chemed Corporation et al","settlement","","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","https://www.law360.com/articles/473728",""
"Vitas Healthcare","Chemed","$19,000,000","$0","$19,000,000","2006","20060626","employment-related offenses","wage and hour violation","","off-the-clock work","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC313552","ANN MARIE COSTA ET AL vs. VITAS HEALTHCARE CORP OF CALIF","settlement","California","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","https://www.sec.gov/Archives/edgar/data/19584/000095015207001581/l24841ae10vk.htm",""
"ROTO ROOTER","Chemed","$5,076","$0","$5,076","2008","20080716","environment-related offenses","environmental violation","","","state","agency action","Oregon Department of Environmental Quality","civil","","","2008-054","","","Oregon","Roseburg","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"ROTO-ROOTER SERVICES COMPANY","Chemed","$5,000","$0","$5,000","2012","20120628","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","NEW HAVEN","45 NASH STREET","06511","562991","562991: Septic Tank and Related Services","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROTO-ROOTER SERVICES COMPANY","Chemed","$6,005","$0","$6,005","2017","20171128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","FORDS","664 MAIN STREET","08863","562991","562991: Septic Tank and Related Services","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROTO-ROOTER","Chemed","$5,543","$0","$5,543","2018","20181113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","SUGAR LAND","9920 HIGHWAY 90-A STE 150C","77478","238220","238220: Plumbing, Heating, and Air-Conditioning Contractors","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROTO-ROOTER SERVICES COMPANY","Chemed","$39,010","$0","$39,010","2021","20210330","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","PARK RIDGE","508 ENGEL BLVD.","60068","237110","237110: Water and Sewer Line and Related Structures Construction","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROTO-ROOTER SERVICES COMPANY, INC.","Chemed","$24,383","$0","$24,383","2021","20210811","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","HOOVER","510 RUSSET VALLEY CIRCLE","35244","237110","237110: Water and Sewer Line and Related Structures Construction","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
