"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AdminaStar Federal, Inc.","Anthem","$6,000,000","$0","$6,000,000","2005","20050920","government-contracting-related offenses","False Claims Act and related","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html",""
"WellPoint Health Networks","Anthem","$9,250,000","$0","$9,250,000","2002","20020729","government-contracting-related offenses","False Claims Act and related","fraud","Blue Cross of California (BCC) and its parent company WellPoint Health Networks agreed to pay the United States $9,250,000 to resolve allegations that BCC, which had a contract with the Centers for Medicare & Medicaid Services to process Medicare claims in California, knowingly falsified data regarding its performance of cost report audits.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2002/July/02_civ_435.htm",""
"Amerigroup New York","Anthem","$1,650,000","$0","$1,650,000","2016","20160512","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Eastern District of New York","14-cv-3891","Bijoux et al v. Amerigroup New York, LLC","settlement","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","",""
"Amerigroup Corporation","Anthem","$4,450,000","$0","$4,450,000","2012","20120806","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Eastern District of New York","10-cv-05391","Toure v. Amerigroup Corporation et al","settlement","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.law360.com/articles/325224/amerigroup-will-pay-4-5m-to-settle-sales-reps-ot-action",""
"Anthem, Inc.","Anthem","$243,200","$0","$243,200","2018","20180509","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Wellpoint, Inc.","Anthem","$42,050","$0","$42,050","2012","20121113","employment-related offenses","employment screening violation","Fair Credit Reporting Act violation","","federal","private litigation","","civil","","Eastern District of Virginia","3:11-cv-0333","Lengrand v. Wellpoint, Inc.","settlement","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","",""
"Anthem, Inc.","Anthem","$16,000,000","$0","$16,000,000","2018","20181015","consumer-protection-related offenses","privacy violation","","Anthem, Inc. agreed to pay $16 million to the Office for Civil Rights and take substantial corrective action to settle potential violations of the Health Insurance Portability and Accountability Act (HIPAA) Privacy and Security Rules after a series of cyberattacks exposed the electronic protected health information of almost 79 million people.","federal","agency action","Health & Human Services Department Office for Civil Rights","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.hhs.gov/about/news/2018/10/15/anthem-pays-ocr-16-million-record-hipaa-settlement-following-largest-health-data-breach-history.html",""
"WellPoint Inc.","Anthem","$1,700,000","$0","$1,700,000","2013","20130711","consumer-protection-related offenses","privacy violation","","","federal","agency action","Health & Human Services Department Office for Civil Rights","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/examples/wellpoint/index.html",""
"Amerigroup Illinois and Amerigroup Corp","Anthem","$225,000,000","$225,000,000","$0","2006","20061031","government-contracting-related offenses","False Claims Act and related","","Amerigroup Illinois and Amerigroup Corp. were found guilty of systematic and extensive Medicaid fraud, by illegally avoiding paying for medical care for pregnant women and people with expensive health conditions while receiving state and federal funds. The companies were initially ordered to pay $144 million; in March 2007 the final was set at $334,365,000. In August 2008 Amerigroup agreed to pay $225 million to settle the matter. The case was also reported by the Justice Department; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-amerigroup-corporation","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://web.archive.org/web/20071021013019/http://www.illinoisattorneygeneral.gov/pressroom/2006_10/20061031c.html","The proportions that the state, federal government, and whistleblower recieved are not noted."
"Blue Cross of California dba Anthem Blue Cross","Anthem","$150,000","$0","$150,000","2012","20121001","consumer-protection-related offenses","privacy violation","","","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-settlement-anthem-blue-cross-over",""
"Empire HealthChoice","Anthem","$5,000","$0","$5,000","2005","20050210","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://web.archive.org/web/20101113165604/http://www.ag.ny.gov/media_center/2005/feb/feb10a_05.html",""
"WellPoint Inc.","Anthem","$100,000","$0","$100,000","2011","20110705","consumer-protection-related offenses","privacy violation","","failure to report a data breach","state","agency action","Indiana Attorney General","civil","","","","","","Indiana","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","Attorney General Reaches Settlement with Wellpoint in Consumer Data Breach; Insurer Will Pay $100,000 Over Private Data Accessible on Public Web Site, States News Service, July 5, 2011 (via Nexis).",""
"WellPoint, Inc.","Anthem","$10,000,000","$0","$10,000,000","2009","20090218","consumer-protection-related offenses","consumer protection violation","","To resolve a case involving allegations of unfair health insurance reimbursement rates, WellPoint agreed to pay $10 million to a qualified nonprofit organization that would establish a new, independent database to help determine fair out-of-network reimbursement rates for consumers throughout the United States. ","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://web.archive.org/web/20101110042049/http://www.ag.ny.gov/media_center/2009/feb/feb18a_09.html",""
"Anthem Blue Cross","Anthem","$6,000,000","$0","$6,000,000","2013","20130621","consumer-protection-related offenses","consumer protection violation","","Anthem Blue Cross agreed to pay $6 million to resolve a lawsuit alleging that it unlawfully rescinded coverage of patients after they filed claims.","local","agency action","Los Angeles (CA) City Attorney","civil","","","","","","California","Los Angeles","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","LA settles health insurance lawsuit for $6M, Associated Press, June 21, 2013 (via Nexis).",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2002","20021007","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2003","20030116","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2003","20030925","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$30,000","$0","$30,000","2003","20031024","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2003","20031119","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2003","20031230","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2004","20040109","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$50,000","$0","$50,000","2004","20040114","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2004","20040217","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$12,500","$0","$12,500","2004","20040318","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2004","20040402","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2004","20040408","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$22,500","$0","$22,500","2004","20040408","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$27,500","$0","$27,500","2004","20040408","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$12,500","$0","$12,500","2004","20040512","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2004","20040608","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2004","20040712","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$20,000","$0","$20,000","2004","20040712","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2004","20040723","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2004","20040907","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2004","20040920","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2004","20041004","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2004","20041004","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2005","20050119","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2005","20050201","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$12,500","$0","$12,500","2005","20050204","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2005","20050301","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2005","20050316","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2005","20050516","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$12,500","$0","$12,500","2005","20050524","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2005","20050526","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2005","20050615","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2005","20050615","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2005","20050616","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California","Anthem","$150,000","$0","$150,000","2005","20050705","consumer-protection-related offenses","insurance violation","","premium overcharges","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/July5,2005.aspx",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2005","20050708","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2005","20050901","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2005","20050913","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
