"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Humana Health Plan Inc.","Humana","$800,000","$0","$800,000","2000","20000216","consumer-protection-related offenses","consumer protection violation","","Humana Health Plan Inc. agreed to pay $800,000 in restitution to settle allegations the company enticed members to join the HMO with a deceptive hearing aid offer.","state","agency action","Florida Attorney General","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://web.archive.org/web/20000504142631/http://legal1.firn.edu/newsrel.nsf/b57e80b88fcebfad85256403005cbc7a/aaeca64080033e5085256887004ac291?OpenDocument",""
"Humana Medical Plan Inc.","Humana","$8,000,000","$0","$8,000,000","2001","20010628","government-contracting-related offenses","False Claims Act and related","","Humana Medical Plan Inc. agreed to pay nearly $8 million in settlement of allegations that it charged both Medicaid and Medicare for the same services.","state","agency action","Florida Attorney General","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://web.archive.org/web/20041122070633/http://myfloridalegal.com/newsrel.nsf/newsreleases/FF8A6FF3FE5539D185256A79004571E0?OpenDocument",""
"SeniorBridge Family Companies (NY), Inc.","Humana","$6,270","$0","$6,270","2015","20150715","financial offenses","tax violations","","failure to pay out-of-state business registration fee","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://portal.ct.gov/AG/Press-Releases-Archived/2015-Press-Releases/Merrill--Jepsen-Collect-Nearly-18-Million-in-Penalties-from-Companies-Transacting-Business-in-CT-wit",""
"Humana","Humana","$1,000,000","$0","$1,000,000","2007","20070322","employment-related offenses","wage and hour violation","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","http://s3.amazonaws.com/fcmd/documents/documents/000/000/583/original/humana-pays-1-mil-for-flsa-violations-dol-release-.pdf?1423019087",""
"Humana","Humana","$14,500,000","$0","$14,500,000","2000","20000607","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Southern District of Florida","civil","","","","","","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.sun-sentinel.com/news/fl-xpm-2000-06-07-0006070181-story.html",""
"Humana Inc.","Humana","$257,262","$0","$257,262","2020","20200228","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.cms.gov/medicarecompliance-and-auditspart-c-and-part-d-compliance-and-auditspartcandpartdenforcementactions/humanacmp02282020",""
"Humana Health Plan, Inc.","Humana","$45,500","$0","$45,500","2012","20121029","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.az.gov/sites/default/files/documents/files/120153.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"Humana Insurance Co.","Humana","$37,250","$0","$37,250","2012","20121109","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.az.gov/sites/default/files/documents/files/120156.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"Humana Health Plan of California Inc.","Humana","$25,000","$0","$25,000","2017","20170503","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Humana+Health+Plan+of+California+Inc.",""
"Humana Insurance Co.","Humana","$73,600","$0","$73,600","2016","20160205","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWWTE3dElEZ1hOR0hRWFVoT3FLWERKOGpVTVdV/view",""
"Humana Health Plan, Inc.","Humana","$27,600","$0","$27,600","2016","20160323","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://drive.google.com/file/d/1duDjCkJ1RiY7Qv5Viom2T18NTD7enbNG/view",""
"Humana Insurance Co.","Humana","$39,100","$0","$39,100","2016","20160323","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWU3loTjVJMXJmZy1MUjlDbzhabExTXzQ3RzVj/view",""
"Humana Health Insurance Company of Florida, Inc.","Humana","$16,000","$0","$16,000","2001","20010813","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/Humana_Health_IC_FL_40982-01-CO.pdf",""
"Humana Medical Plan, Inc.","Humana","$87,500","$0","$87,500","2002","20021017","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/Humana_Med_Plan_62349-02-CO.pdf",""
"Humana Medical Plan, Inc.","Humana","$27,000","$0","$27,000","2003","20030107","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/HumanaMedicalPlanInc_63869-02-CO.pdf",""
"Humana Health Insurance Company of Florida, Inc.","Humana","$27,500","$0","$27,500","2005","20051206","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/Humana_Health_Florida_80622-05-CO.pdf",""
"Humana Health Insurance Company of Florida, Inc.","Humana","$27,500","$0","$27,500","2005","20051223","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/HumanaHealthFloridaInc_83067-05-CO.pdf",""
"Humana Insurance Co.","Humana","$19,000","$0","$19,000","2006","20060217","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/Humana_IC_77049-04-CO.pdf",""
"Humana Medical Plan, Inc.","Humana","$28,000","$0","$28,000","2009","20090311","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/HumanaMedicalPlanInc97691-08-09-CO.pdf",""
"Humana Medical Plan, Inc.","Humana","$10,000","$0","$10,000","2012","20120515","consumer-protection-related offenses","privacy violation","insurance violation","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/HumanaMedicalPlan91262-07-CO.pdf",""
"Humana Health Insurance Company of Florida, Inc.","Humana","$10,000","$0","$10,000","2012","20120515","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/HumanaHealthFlorida91263-07-CO.pdf",""
"Humana Insurance Co.","Humana","$10,000","$0","$10,000","2012","20120515","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/Humana91251-07-CO.pdf",""
"Humana Medical Plan, Inc.","Humana","$54,000","$0","$54,000","2014","20140303","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/HumanaMedicalPlan144401-13-CO.pdf",""
"Humana Medical Plan, Inc.","Humana","$500,000","$0","$500,000","2016","20160217","consumer-protection-related offenses","insurance violation","","alleged discriminatory practices with regard to HIV/AIDS drugs","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","http://s3.amazonaws.com/fcmd/documents/documents/000/004/257/original/Humana_-_FL_AIDS_Discrim_FLPR.pdf?1455914713",""
"Humana Employers Health Care of Georgia Inc.","Humana","$15,039","$0","$15,039","2000","20000403","consumer-protection-related offenses","insurance violation","","late payment of claims","state","agency action","Georgia Department of Insurance","civil","","","","","","Georgia","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","GEORGIA FINES FIVE HEALTH INSURERS FOR LATE PAYMENTS, Bestwire, April 3, 2000 (via Nexis).",""
"Humana Insurance Co. and Humana Health Plan","Humana","$7,000","$0","$7,000","2008","20081030","consumer-protection-related offenses","insurance violation","","","state","agency action","Kansas Insurance Department","civil","","","","","","Kansas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.ks.gov/department/LegalIssues/orders/2008/humana.pdf",""
"HumanaDental Insurance Co.","Humana","$65,000","$0","$65,000","2015","20150929","consumer-protection-related offenses","insurance violation","","","state","agency action","Kansas Insurance Department","civil","","","","","","Kansas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.ks.gov/department/LegalIssues/orders/2015/Humana.pdf",""
"Humana","Humana","$65,430","$0","$65,430","2013","20130925","consumer-protection-related offenses","insurance violation","","","state","agency action","Kentucky Department of Insurance","civil","","","","","","Kentucky","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","Humana fined $65,430 for letter, Courier-Journal, September 25, 2013 (via Nexis).",""
"Humana Dental Insurance Co.","Humana","$108,300","$0","$108,300","2014","20141114","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2014-11-005","","","Maryland","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Humana Insurance Co.","Humana","$75,600","$0","$75,600","2016","20160601","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2016-06-002","","","Maryland","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Humana Dental Insurance Co.","Humana","$50,000","$0","$50,000","2014","20141031","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={166CC273-17AE-456D-BFF8-7ED39A112DAC}",""
"Humana Insurance Co. and Humana Health Plan, LLC","Humana","$514,674","$0","$514,674","2012","20120314","consumer-protection-related offenses","insurance violation","","Humana agreed to reimburse healthcare providers $514,674 in settlement of allegations it had requested refunds and offsets more than 12 months from the claim payment date, in violation of state codes.","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/HumanaOrder.pdf",""
"Humana Health Plan Inc.","Humana","$99,000","$0","$99,000","2014","20140113","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/HumanaHealthPlanOrder.pdf",""
"Humana Insurance Co.","Humana","$161,800","$0","$161,800","2014","20141230","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/HumanaInsuranceCoMC.pdf",""
"Humana Dental Insurance Co.","Humana","$7,500","$0","$7,500","2017","20170113","consumer-protection-related offenses","insurance violation","","","state","agency action","Montana Commissioner of Securities & Insurance","civil","","","","","","Montana","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://csimt.gov/wp-content/uploads/ORDER-2016.12.31-Humana-Dental-Consent-Agt-1.pdf",""
"Humana Insurance Company","Humana","$50,000","$0","$50,000","2006","20061030","consumer-protection-related offenses","privacy violation","","","state","agency action","North Dakota Insurance Department","civil","","","","","","North Dakota","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://web.archive.org/web/20160413111653/http://www.nd.gov/ndins/uploads/39/consentorderhumana.pdf",""
"Humana Insurance Company","Humana","$500,000","$0","$500,000","2007","20070822","consumer-protection-related offenses","insurance violation","","","state","agency action","Oklahoma Insurance Department","civil","","","","","","Oklahoma","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","http://s3.amazonaws.com/fcmd/documents/documents/000/000/882/original/humana-improper-medicare-sales_pr.pdf?1423019643",""
"Humana Pharmacy Solutions Inc.","Humana","$25,000","$0","$25,000","2016","20161011","consumer-protection-related offenses","insurance violation","","","state","agency action","South Dakota Division of Insurance","civil","","","","","","South Dakota","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://dlr.sd.gov/insurance/admin_actions/documents/2016/humana_pharmacy_solutions_inc.pdf",""
"Humana Pharmacy Solutions Inc.","Humana","$25,000","$0","$25,000","2019","20190123","consumer-protection-related offenses","insurance violation","","","state","agency action","Tennessee Department of Commerce & Insurance","civil","","","","","","Tennessee","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tn.gov/content/dam/tn/commerce/documents/insurance/companyactions/Humana_Pharmacy_Solutions_inc_012819.pdf",""
"Humana Health Plan of Texas","Humana","$2,100,000","$0","$2,100,000","2001","20011228","consumer-protection-related offenses","insurance violation","","delayed processing of claims and other violations","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","HUMANA HEALTH PLAN PAYS $2.1 MILLION IN RESTITUTION, BestWire, December 28, 2001 (via Nexis).",""
"Humana Health Plan of Texas, Inc.","Humana","$10,000","$0","$10,000","2016","20160830","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20164637.pdf",""
"Humana Insurance Company","Humana","$75,000","$0","$75,000","2017","20170123","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20174906.pdf",""
"Humana Health Plan of Texas, Inc.","Humana","$140,000","$0","$140,000","2017","20170821","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20175187.pdf",""
"Humana Insurance Company","Humana","$50,000","$0","$50,000","2018","20180215","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20185404.pdf",""
"Humana Insurance Company","Humana","$60,000","$0","$60,000","2018","20180524","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20185519.pdf",""
"Humana Insurance Company","Humana","$350,000","$0","$350,000","2018","20181008","consumer-protection-related offenses","insurance violation","","inadequate in-network anesthesiologists","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20185653.pdf",""
"Humana Insurance Company","Humana","$100,000","$0","$100,000","2018","20181114","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20185723.pdf",""
