"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Express Scripts Holding Company","Cigna","$213,000","$0","$213,000","2017","20170913","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Connecticut General Life Insurance Company","Cigna","$3,300,000","$0","$3,300,000","2009","20091215","employment-related offenses","wage and hour violation","","off-the-clock work","federal","private litigation","","civil","","Northern District of California","08-cv-3552","Hazel v. Connecticut General Life Insurance Company","settlement","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.law360.com/california/articles/103751/cigna-unit-looks-to-settle-ot-class-action-for-3-3m",""
"Medco Health Solutions Inc.","Cigna","$42,500,000","$0","$42,500,000","2004","20040525","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Southern District of New York","03-MDL-1508","In re Medco Health Solutions, Inc. Pharmacy Benefits Management Litigation","settlement","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://contractormisconduct.org/misconduct/779/medco-erisa-class-action-settlement",""
"CIGNA Corporation","Cigna","$35,000,000","$0","$35,000,000","2013","20131015","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Central District of Illinois","2:07-cv-2046","Nolte et al v. CIGNA Corporation et al","settlement","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://hrdailyadvisor.blr.com/2013/07/17/cignas-35m-settlement-on-401k-fees-includes-investment-review/",""
"Connecticut General Life Insurance","Cigna","$8,134,207","$0","$8,134,207","2013","20130315","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","District of Massachusetts","1:09-cv-11537","Otte v. Life Insurance Company of North America and Connecticut General Life Insurance","settlement","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.law360.com/articles/250844",""
"Accredo Health Group","Cigna","$14,939,401","$14,939,401","$0","2015","20150508","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Accredo Health Group, Inc. agreed to pay just under $15 million as part of the settlement of multistate litigation alleging that it recommended the drug Exjade to Medicaid patients in exchange for kickbacks from Novartis Pharmaceuticals Corporation, which marketed the drug. This was part of a $60 million settlement that also involved the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-accredo-health-group","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20160820072716/http://ag.ny.gov/press-release/ag-schneiderman-announces-60-million-national-settlement-accredo-pharmacy",""
"Accredo Health Group, Inc.","Cigna","$375,000","$0","$375,000","2018","20180322","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20180408210221/https://ag.ny.gov/press-release/ag-schneiderman-announces-375000-settlement-specialty-pharmacy-over-failure-provide",""
"Cigna","Cigna","$50,000","$0","$50,000","2017","20170123","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20170726004524/https://ag.ny.gov/press-release/ag-schneiderman-announces-settlement-cigna-eliminates-policies-which-barred-coverage",""
"CIGNA","Cigna","$10,000,000","$0","$10,000,000","2009","20090217","consumer-protection-related offenses","consumer protection violation","","To resolve a case involving allegations of unfair health insurance reimbursement rates, CIGNA agreed to pay $10 million to a qualified nonprofit organization that would establish a new, independent database to help determine fair out-of-network reimbursement rates for consumers throughout the United States. ","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20101110042055/http://www.ag.ny.gov/media_center/2009/feb/feb17a_09.html",""
"Cigna Corporation","Cigna","$56,000","$0","$56,000","2014","20140115","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20161130182148/http://ag.ny.gov/press-release/ag-schneiderman-announces-settlement-health-care-insurer-wrongfully-denying-mental/",""
"CIGNA Health Care","Cigna","$870,388","$0","$870,388","2004","20041207","competition-related offenses","kickbacks and bribery","","CIGNA agreed to pay $870,388 in settlement of allegations it paid commissions to a broker in connection with the state employee dental plan, which was explicitly disallowed by the state when it was soliciting bids.","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20100603143653/http://www.ct.gov/ag/cwp/view.asp?A=1779&Q=289676",""
"CIGNA HealthCare","Cigna","$100,000","$0","$100,000","2007","20071029","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20101109024631/http://www.ag.ny.gov/media_center/2007/oct/oct29a_07.html",""
"CIGNA Healthcare of New York","Cigna","$5,000","$0","$5,000","2005","20050210","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20101113165604/http://www.ag.ny.gov/media_center/2005/feb/feb10a_05.html",""
"CIGNA Life Insurance Company","Cigna","$13,500,000","$0","$13,500,000","2008","20080729","consumer-protection-related offenses","consumer protection violation","","Express Scripts and CIGNA agreed to pay a total of $27 million to settle allegations that they switched prescription drugs for benefit plan subscribers without telling them. The announcement did not specify how much each of the companies would pay. Here we assume they split the amount equally between them.","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20101109020950/http://www.ag.ny.gov/media_center/2008/jul/july29a_08.html",""
"Express Scripts","Cigna","$503,500","$0","$503,500","2018","20181121","government-contracting-related offenses","False Claims Act and related","","","state","agency action","Vermont Attorney General","civil","","","","","","Vermont","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://ago.vermont.gov/blog/2018/11/21/state-settles-dispute-with-its-pharmacy-benefits-manager/",""
"Express Scripts Inc.","Cigna","$9,500,000","$0","$9,500,000","2008","20080527","consumer-protection-related offenses","consumer protection violation","","Pharmacy benefit manager Express Scripts agreed to pay $9.5 million to settle multistate litigation alleging that it engaged in unfair business practices by not clearly disclosing details about its practices relating to switching drugs when filling prescriptions.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.atg.wa.gov/news/news-releases/attorney-general-mckenna-announces-express-scripts-pay-95-million-resolve",""
"Express Scripts, Inc.","Cigna","$13,500,000","$0","$13,500,000","2008","20080729","consumer-protection-related offenses","consumer protection violation","","Express Scripts and CIGNA agreed to pay a total of $27 million to settle allegations that they switched prescription drugs for benefit plan subscribers without telling them. The announcement did not specify how much each of the companies would pay. Here we assume they split the amount equally between them.","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20101109020950/http://www.ag.ny.gov/media_center/2008/jul/july29a_08.html",""
"Life Insurance of North America","Cigna","$1,500,000","$0","$1,500,000","2013","20130618","consumer-protection-related offenses","consumer protection violation","","Life insurance of North America agreed to pay an additional $1.5 million in restitution to settle allegations it had not provided all the consumer relief required by a previous settlement.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20130715214638/http://www.mass.gov/ago/news-and-updates/press-releases/2013/2013-06-18-lina.html",""
"Life Insurance of North America","Cigna","$1,705,000","$0","$1,705,000","2012","20120703","consumer-protection-related offenses","consumer protection violation","","Life Insurance of North America agreed to pay over $1.7 million in settlement of allegations it deceptively marketed health insurance plans that did not comply with state mandated requirements.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20120901210259/http://www.mass.gov/ago/news-and-updates/press-releases/2012/2012-07-03-lina-judgment.html",""
"Medco Health Solutions","Cigna","$2,750,000","$0","$2,750,000","2012","20120323","competition-related offenses","price-fixing or anti-competitive practices","","The California Attorney General announced that Medco agreed to pay $2.75 million and change internal procedures to settle claims regarding its engagement of Alfred Villalobos to assist it in securing a CalPERS contract in 2005.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-settlement-medco-over-alleged",""
"Medco Health Solutions, Inc.","Cigna","$29,100,000","$0","$29,100,000","2004","20040426","consumer-protection-related offenses","consumer protection violation","","Medco Health Solutions agreed to pay $29.1 million to settle multistate litigation alleging that the company encouraged prescribers to switch their patients to cheaper drugs, a practice that financially benefitted Medco but often did not provide savings for patients and their health care plans.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-and-19-others-settle-drug-switching-claims-against",""
"Medco Health Solutions, Inc.","Cigna","$7,800,000","$0","$7,800,000","2005","20051220","government-contracting-related offenses","False Claims Act and related","","overcharging the State Teachers Retirement System","state","agency action","Ohio Attorney General","civil","","","","","","Ohio","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","Attorney General Petro Wins $7.8 Million Verdict Against Merck, Medco for Defrauding Teachers' Pension System, US States News, December 20, 2005 (via Nexis).",""
"Life Insurance Company of North America","Cigna","$241,149","$0","$241,149","2018","20181029","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1866846","","","Texas","Plano","1640 Dallas Parkway","75093","524298","524298: All Other Insurance Related Activities","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Express Scripts Administrators, LLC","Cigna","$50,000","$0","$50,000","2019","20191125","consumer-protection-related offenses","insurance violation","","","state","agency action","Arkansas Insurance Department","civil","","","","","","Arkansas","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://insurance.arkansas.gov/uploads/resource/documents/2019-79-consent-order-express-scripts-administrators-llc.pdf",""
"Life Insurance Company of North America","Cigna","$54,000","$0","$54,000","2014","20141231","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://insurance.az.gov/sites/default/files/documents/files/140138.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"Connecticut General Life Insurance Co.","Cigna","$235,750","$0","$235,750","2015","20150612","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://insurance.az.gov/sites/default/files/documents/files/150054.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"Cigna HealthCare of California, Inc.","Cigna","$10,000","$0","$10,000","2001","20010123","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$5,000","$0","$5,000","2002","20020207","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$7,500","$0","$7,500","2002","20020909","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$30,000","$0","$30,000","2003","20030129","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$7,500","$0","$7,500","2003","20031113","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$5,000","$0","$5,000","2004","20040723","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$5,000","$0","$5,000","2004","20040921","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$5,000","$0","$5,000","2005","20050406","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"CIGNA Behavioral Health of California, Inc.","Cigna","$10,000","$0","$10,000","2005","20051123","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Behavioral+Health+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$5,000","$0","$5,000","2006","20060413","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
