"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Graco Children's Products Inc.","Newell Brands","$4,000,000","$0","$4,000,000","2005","20050322","safety-related offenses","product safety violation","","CPSC imposed a $4 million penalty against Graco Children's Products Inc., of Exton, Pa., for failing to inform the government in a timely manner about more than 12 million products that posed a danger to young children nationwide.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","https://www.cpsc.gov/Newsroom/News-Releases/2005/Record-Civil-Penalty-Levied-Against-Graco-Childrens-Products-Inc-CPSC-Graco-announce-new-recall-of-12-million-toddler-beds",""
"GRACO CHILDREN PRODUCTS","Newell Brands","$10,237","$0","$10,237","2002","20020920","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","EVERSON","47 PARK AVENUE","19520","000000","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RUBBERMAID HOME PRODUCTS DIVISION","Newell Brands","$50,200","$0","$50,200","2002","20021205","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","WINFIELD","3415 E. 12TH AVENUE","67156","326121","326121: Unlaminated Plastics Profile Shape Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RUBBERMAID HOME PRODUCTS DIVISION","Newell Brands","$7,500","$0","$7,500","2002","20021205","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","WINFIELD","3415 E. 12TH AVENUE","67156","326121","326121: Unlaminated Plastics Profile Shape Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUNBEAM PRODUCTS INC","Newell Brands","$7,800","$0","$7,800","2003","20030415","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","WAYNESBORO","224 RUSSELL DRIVE","39367","333414","333414: Heating Equipment (except Warm Air Furnaces) Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RUBBERMAID COMMERCIAL PRODUCTS","Newell Brands","$12,675","$0","$12,675","2000","20000605","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","WINCHESTER","3124 VALLEY AVENUE","22601","000000","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Newell Operating Company","Newell Brands","$85,000","$0","$85,000","2004","20040303","environment-related offenses","environmental violation","","air pollution","state","agency action","Wisconsin Attorney General","civil","","","","","","Wisconsin","Manitowoc","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","https://web.archive.org/web/20070901105341/http://www.doj.state.wi.us/news/2004/nr030304_ENV.asp",""
"Rubbermaid","Newell Brands","$184,500","$0","$184,500","2019","20190925","environment-related offenses","environmental violation","","air pollution violations","state","agency action","Virginia Attorney General","civil","","","","","","Virginia","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","https://www.oag.state.va.us/media-center/news-releases/1535-september-25-2019-herring-and-deq-reach-settlement-with-rubbermaid",""
"Yankee Candle Company, Inc","Newell Brands","$16,400","$0","$16,400","2010","20100901","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","https://ww2.arb.ca.gov/yankee-candle-company-inc-settlement",""
"THE UNITED STATES PLAYING CARD COMPANY","Newell Brands","$15,000","$0","$15,000","2012","20121130","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -110140","","","Kentucky","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"Rubbermaid Commercial Products LLC","Newell Brands","$61,800","$0","$61,800","2018","20180831","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Winchester","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"Rubbermaid Inc.","Newell Brands","$15,000","$0","$15,000","2002","20021205","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","http://www3.aqmd.gov/hb/2003/March/030315a.html",""
"HEARTHMARK, LLC DBA JARDEN HOME BRANDS","Newell Brands","$5,225","$0","$5,225","2010","20100219","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","SPRING HOPE","1000 BARBEE STREET","27882","321999","321999: All Other Miscellaneous Wood Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HEARTHMARK, LLC DBA JARDEN HOME BRANDS","Newell Brands","$5,500","$0","$5,500","2010","20100219","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","SPRING HOPE","1000 BARBEE STREET","27882","321999","321999: All Other Miscellaneous Wood Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WNA AMERICAN PLASTIC INDUSTRIES INC","Newell Brands","$8,720","$0","$8,720","2011","20110106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","CHATTANOOGA","5930 QUINTUS LOOP RD","37421","326199","326199: All Other Plastics Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"JARDEN ZINC PRODUCTS LLC","Newell Brands","$5,750","$0","$5,750","2013","20130813","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","GREENEVILLE","2500 OLD STAGE ROAD","37745","332813","332813: Electroplating, Plating, Polishing, Anodizing, and Coloring","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"YANKEE CANDLE COMPANY INC","Newell Brands","$5,000","$0","$5,000","2013","20131203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","ORANGE","220 INDIAN RIVER ROAD","06477","453998","453998: All Other Miscellaneous Store Retailers (except Tobacco Stores)","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IRWIN TOOLS","Newell Brands","$5,525","$0","$5,525","2014","20140430","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","GORHAM","37 BARLETT ROAD","04038","332721","332721: Precision Turned Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IRWIN INDUSTRIAL TOOL COMPANY","Newell Brands","$8,500","$0","$8,500","2015","20150409","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","EAST LONGMEADOW","301 CHESTNUT STREET","01028","332213","332213: Saw Blade and Handsaw Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NUK USA LLC","Newell Brands","$8,000","$0","$8,000","2016","20160428","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","REEDSBURG","728 BOOSTER BOULEVARD","53959","339112","339112: Surgical and Medical Instrument Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ELMER'S PRODUCTS, INC.","Newell Brands","$8,250","$0","$8,250","2016","20160826","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","STATESVILLE","2020 W. FRONT STREET","28677","325520","325520: Adhesive Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE COLEMAN COMPANY, INC.","Newell Brands","$12,711","$0","$12,711","2017","20170316","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","NEW BRAUNFELS","766 FM 306","78130","326199","326199: All Other Plastics Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WNA CUPS ILLUSTRATED, INC.","Newell Brands","$7,760","$0","$7,760","2018","20181101","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","LANCASTER","2155 WEST LONGHORN DRIVE","75134","326199","326199: All Other Plastics Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEWELL RUBBERMAID COMMERCIAL PRODUCTS","Newell Brands","$6,638","$0","$6,638","2020","20201001","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","WINCHESTER","3124 VALLEY AVE","22601","326199","326199: All Other Plastics Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEWELL BRANDS, LLC","Newell Brands","$17,350","$0","$17,350","2020","20201008","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","WINFIELD","3415 E 12TH AVE","67156","326199","326199: All Other Plastics Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ELMER'S PRODUCTS INC","Newell Brands","$6,000","$0","$6,000","2000","20000831","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2000-4209","","","New York","BAINBRIDGE","COUNTY RD 38","13733","325520","325520: Adhesive Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"RUBBERMAID INC & IGNITE USA LLC","Newell Brands","$106,157","$0","$106,157","2017","20170922","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2017-1577","","","Georgia","ATLANTA","3 GLENLAKE PKWY NE","30328","423440","423440: Other Commercial Equipment Merchant Wholesalers","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"JARDEN ZINC PRODUCTS, LLC","Newell Brands","$96,403","$0","$96,403","2017","20170504","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2017-8000","","","","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Sanford L.P.","Newell Brands","$98,800","$0","$98,800","2008","20080129","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2008-0024","","","Illinois","OAK BROOK","2707 BUTTERFIELD ROAD","60523","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
