"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Comcast","Comcast","$2,300,000","$0","$2,300,000","2016","20161011","consumer-protection-related offenses","telecommunications violation","","The FCC's Enforcement Bureau announced that Comcast Corporation would pay a $2.3 million fine to resolve an investigation into whether the company wrongfully charged cable TV customers for services and equipment that those customers never authorized.","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://apps.fcc.gov/edocs_public/attachmatch/DOC-341621A1.pdf",""
"Comcast Cable Communications Inc.","Comcast","$5,000","$0","$5,000","2004","20040819","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-33507-001","","","Pennsylvania","Washington","","15301","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast Cable Communications, Inc.","Comcast","$24,650","$0","$24,650","2009","20090114","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-25100-001","","","Texas","Dallas","","75204","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast Cable Communications, Inc.","Comcast","$16,000","$0","$16,000","2007","20070419","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-24875-001","","","Texas","Dallas","","75204","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast Cable Communications, Inc.","Comcast","$12,000","$0","$12,000","2008","20080222","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1501884","","","Michigan","Southfield","","48034","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Comcast Cable Communications, LLC","Comcast","$203,155","$0","$203,155","2008","20080503","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1503552","","","Pennsylvania","Philadelphia","","19103","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Comcast Cablevision of MD, Inc.","Comcast","$50,000","$0","$50,000","2005","20050729","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-31791-001","","","Maryland","Lanham","","20706","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast Cablevision of MD, Inc.","Comcast","$40,000","$0","$40,000","2005","20050729","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-31652-001","","","Maryland","Lanham","","20706","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast Cablevision - Taylor","Comcast","$5,000","$0","$5,000","2000","20000323","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-42290-001","","","Michigan","Taylor","","48180","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast Communications","Comcast","$65,000","$0","$65,000","2005","20050729","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-31909-001","","","Maryland","Lanham","","20706","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast Communications","Comcast","$35,000","$0","$35,000","2005","20050729","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-31906-001","","","Maryland","Lanham","","20706-2005","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast Communications","Comcast","$5,000","$0","$5,000","2005","20050729","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-31905-001","","","Maryland","Lanham","","20706","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"COMCAST MO OF DELAWARE, LLC","Comcast","$152,628","$0","$152,628","2015","20150122","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-125877","","","Massachusetts","Fall River","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Comcast Montgomery Cable","Comcast","$22,773","$0","$22,773","2004","20041208","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-31951-001","","","Maryland","Rockville","","20850","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast of Montana I, Inc. (TCI Cablevision of Montana, Inc.; AT & T Cablevision of Montana, Inc.;  AT & T Broadband)","Comcast","$39,105","$0","$39,105","2003","20030730","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-26874-001","","","Montana","Missoula","","59801","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast of Puget Sound","Comcast","$53,633","$0","$53,633","2015","20150430","employment-related offenses","employment discrimination","","gender","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.dol.gov/ofccp/foia/files/COMCAST(CC)WILLOWGROVE_CA_DPO_Redacted.pdf",""
"Comcast of Washington, IV, Inc.","Comcast","$64,000","$0","$64,000","2003","20031022","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-28630-001","","","Washington","Auburn","","98002","517110","517110: Wired Telecommunications Carriers","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast of Washington V, LLC","Comcast","$20,000","$0","$20,000","2011","20110128","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","36-CA-10721-001","","","Washington","Vancouver","","98661","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast-Spectacor","Comcast","$35,517","$0","$35,517","2006","20060420","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1427243","","","Washington","Everett","","98201","711310","711310: Promoters of Performing Arts, Sports, and Similar Events with Facilities","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Comcast-Spectacor","Comcast","$6,761","$0","$6,761","2007","20070316","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1473343","","","Pennsylvania","Philadelphia","","19148","561210","561210: Facilities Support Services","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Comcast-Spectacor","Comcast","$6,276","$0","$6,276","2007","20070630","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1498605","","","Pennsylvania","Philadelphia","","19148","561210","561210: Facilities Support Services","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"National Broadcasting Corporation, Inc.","Comcast","$31,500","$0","$31,500","2002","20020419","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-23859-001","","","California","Burbank","","91523","515120","515120: Television Broadcasting","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Ovations Food Services, L.P.","Comcast","$32,053","$0","$32,053","2012","20121010","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-046264","","","Ohio","Cincinnati","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Ovations Food Services, LP","Comcast","$10,370","$0","$10,370","2015","20150531","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1759990","","","Texas","El Paso","","79901","722310","722310: Food Service Contractors","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"NBC UNIVERSAL, INC.","Comcast","$6,750","$0","$6,750","2009","20090811","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","30 ROCKEFELLER PLAZA","10112","512110","512110: Motion Picture and Video Production","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GLOBAL SPECTRUM L.P.","Comcast","$8,000","$0","$8,000","2010","20100222","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","SPRINGFIELD","1277 MAIN STREET","01103","561790","561790: Other Services to Buildings and Dwellings","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST OF SOUTH FLORIDA II, INC.","Comcast","$6,000","$0","$6,000","2009","20090512","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","KEY LARGO","40 PALM BEACH DRIVE","33037","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST CABLE","Comcast","$8,000","$0","$8,000","2006","20061122","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","FORT WAYNE","720 TAYLOR STREET","46802","517510","517510: Cable and Other Program Distribution","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST CABLE COMMUNICATIONS, LLC.","Comcast","$5,000","$0","$5,000","2004","20040830","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","CHICAGO","1056 W. VAN BUREN","60607","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST CORPORATION","Comcast","$10,000","$0","$10,000","2011","20110801","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2011SO700357","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"NBC Universal Television Group","Comcast","$4,266,000","$0","$4,266,000","2017","20170327","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of New York","15-cv-07206","Leach et al v. NBC Universal Television Group et al","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.law360.com/articles/892776/-4-3m-nbc-production-assistant-ot-deal-gets-initial-ok",""
"Universal City Studios","Comcast","$1,800,000","$0","$1,800,000","2016","20160913","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Central District of California","12-cv-09286","Uriel Luna v. Universal City Studios Productions LLLP et al","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.law360.com/articles/839256/universal-city-studios-gets-green-light-on-1-8m-wage-deal",""
"Comcast","Comcast","$450,000","$0","$450,000","2016","20160627","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of Illinois","12-cv-01122","Brand v. Comcast Corporation et al","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.law360.com/articles/811381/settlement-in-comcast-techs-ot-wages-suit-gets-judge-s-ok",""
"Comcast","Comcast","$700,000","$0","$700,000","2016","20160119","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of Illinois","12-cv-01157","Wharton et al v. Comcast Corporation et al","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","",""
"Comcast","Comcast","$190,000","$0","$190,000","2015","20151015","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of Maryland","15-cv-00661","Camp v. Comcast Cable Communcations Management, LLC (settled with three other cases)","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","",""
"NBCUniversal Inc.","Comcast","$6,400,000","$0","$6,400,000","2015","20150528","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of New York","13-cv-04634","Moore et al v. NBCUniversal, Inc.","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.law360.com/articles/663278/nbcuniversal-gets-nod-for-6-4m-unpaid-intern-deal",""
"Comcast","Comcast","$453,900","$0","$453,900","2015","20150415","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Eastern District of Pennsylvania","14-cv-01115-LAS","Rouse v. Comcast Corporation","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","",""
"COMCAST CABLE COMMUNICATION","Comcast","$37,380","$0","$37,380","2016","20160602","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"Comcast","Comcast","$7,210,000","$0","$7,210,000","2016","20160615","employment-related offenses","employment discrimination","","racial discrimination","federal","private litigation","","civil","","Northern District of Illinois","1:11-cv-8471","Brand et al v. Comcast Corporation, Inc.","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.fiercetelecom.com/installer/comcast-pays-7-2m-to-settle-racial-discrimination-suit-by-chicago-techs",""
"Comcast Corporation","Comcast","$5,000,000","$0","$5,000,000","2011","20110126","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Eastern District of Pennsylvania","2:08-cv-0773","Moore v. Comcast Corporation et al","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.law360.com/articles/223901/comcast-settles-retirement-fund-action-for-5m",""
"Comcast","Comcast","$33,000,000","$0","$33,000,000","2015","20150917","consumer-protection-related offenses","privacy violation","","The California Attorney General announced that the California Department of Justice, along with the California Public Utilities Commission, reached a $33 million settlement with Comcast over allegations that it posted online the names, phone numbers and addresses of tens of thousands of customers who had paid for unlisted voice over internet protocol (VOIP) phone service. ","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-reaches-33-million-settlement-comcast-over",""
