"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"UnitedHealth Group, Inc.","UnitedHealth Group","$2,175,000","$0","$2,175,000","2012","20120619","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"UnitedHealthcare Medicare & Retirement","UnitedHealth Group","$2,498,850","$0","$2,498,850","2016","20161122","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/United_CMP_Notice_11_23_16.pdf",""
"UnitedHealthcare of New York","UnitedHealth Group","$149,150","$0","$149,150","2015","20150714","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","Required Beneficiary Notices","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Sierra Military Health Services LLC","UnitedHealth Group","$2,200,000","$0","$2,200,000","2010","20100125","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-District of Maryland","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.justice.gov/archive/usao/md/news/archive/HealthCareBenefitsCompanyAgreestoPay2.2MillionToSettleFalseBillingClaims.html",""
"Americhoice, Inc.","UnitedHealth Group","$12,000","$0","$12,000","2010","20100310","employment-related offenses","wage and hour violation","","","state","agency action","California Labor Commissioner's Office","civil","","","35-89228","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","Contained in data obtained on August 17, 2017 in response to an open records request. ",""
"United Healthcare Services","UnitedHealth Group","$1,250,000","$0","$1,250,000","2011","20110606","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Central District of California","10-cv-02027","Robert Cohen v. United HealthCare Services, Inc.","settlement","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.law360.com/articles/224304/united-workers-win-initial-ok-for-1-25m-ot-deal",""
"Pharmaceutical Care Network","UnitedHealth Group","$721,323","$0","$721,323","2006","20060524","employment-related offenses","benefit plan administrator violation","","","federal","agency action","Employee Benefits Security Administration","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.dol.gov/newsroom/releases/ebsa/ebsa20060524",""
"UnitedHealth Group, Inc.","UnitedHealth Group","$17,000,000","$0","$17,000,000","2009","20090820","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","District of Minnesota","0:06-cv-2237","Zilhaver v. UnitedHealth Group, Inc. et al","settlement","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://law.justia.com/cases/federal/district-courts/minnesota/mndce/0:2006cv02237/83836/151/",""
"HealthMarkets, Inc.","UnitedHealth Group","$17,100,000","$0","$17,100,000","2009","20090831","consumer-protection-related offenses","consumer protection violation","","HealthMarkets, Inc., and its subsidiaries, the MEGA Life and Health Insurance and Mid-West National Life Insurance, agreed to pay $13.35 million in consumer relief, $3 million in civil penalties, and $750,000 costs, in settlement of allegations they engaged in unfair and deceptive practices in marketing and administration of health plans sold to small businesses and individuals in Massachusetts. ","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20090906110040/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2009_08_31_mega_settlement&csid=Cago",""
"MEGA Life and Health Insurance Company","UnitedHealth Group","$5,600,000","$0","$5,600,000","2008","20080403","consumer-protection-related offenses","consumer protection violation","","The Maine Bureau of Insurance and the Maine Attorney General resolved concerns about what they called MEGA Life and Health Insurance Company's flawed method of determining premiums for individual health insurance policies, including payment of a $1 million fine against the company. MEGA Life was also required to refund $4.6 million in overpaid premiums, plus interest, to consumers.","state","agency action","Maine Attorney General","civil","","","","","","Maine","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.maine.gov/ag/news/article.shtml?id=53494",""
"Oxford Health Plans","UnitedHealth Group","$35,000","$0","$35,000","2017","20170223","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20170727095531/https://ag.ny.gov/press-release/ag-schneiderman-announces-settlement-oxford-health-improperly-denying-claims-hundreds",""
"Oxford Health Plans","UnitedHealth Group","$166,667","$0","$166,667","2001","20011016","consumer-protection-related offenses","consumer protection violation","","The New York Attorney announced agreements with six health maintenance organizations that would empower consumers to challenge denials of coverage. The HMOs also agreed to pay a total of $1 million to the state AG's office to cover the cost of the investigation. The announcement did not specify how that cost would be divided among the six plans. Here we assume it was split equally.","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20101116013331/http://www.ag.ny.gov/media_center/2001/oct/oct16a_01.html",""
"Oxford Health Plans of New York","UnitedHealth Group","$5,000","$0","$5,000","2005","20050210","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20101113165604/http://www.ag.ny.gov/media_center/2005/feb/feb10a_05.html",""
"PacifiCare Health Systems, Inc.","UnitedHealth Group","$4,250,000","$0","$4,250,000","2003","20030321","consumer-protection-related offenses","consumer protection violation","","dispute over unpaid claims","state","agency action","Texas Attorney General","civil","","","","","","Texas","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","Pacificare Works to End Pending Litigation with Texas, Bestwire, March 24, 2003 (via Nexis).",""
"United Healthcare of New York","UnitedHealth Group","$5,000","$0","$5,000","2005","20050210","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20101113165604/http://www.ag.ny.gov/media_center/2005/feb/feb10a_05.html",""
"United Healthcare","UnitedHealth Group","$45,000","$0","$45,000","2006","20061219","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20101111164752/http://www.ag.ny.gov/media_center/2006/dec/dec19a_06.html",""
"UnitedHealth Group","UnitedHealth Group","$100,000","$0","$100,000","2016","20160107","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20170716121100/https://ag.ny.gov/press-release/ag-schneiderman-announces-settlement-united-health-group-protecting-competition-elder",""
"UnitedHealth Group Inc.","UnitedHealth Group","$50,000,000","$0","$50,000,000","2009","20090113","consumer-protection-related offenses","consumer protection violation","","To resolve a case involving allegations of unfair health insurance reimbursement rates, UnitedHealth agreed to pay $50 million to a qualified nonprofit organization that would establish a new, independent database to help determine fair out-of-network reimbursement rates for consumers throughout the United States. ","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20101109014056/http://www.ag.ny.gov/media_center/2009/jan/jan13a_09.html",""
"UnitedHealth Group Incorporated","UnitedHealth Group","$1,000,000","$0","$1,000,000","2011","20110623","competition-related offenses","price-fixing or anti-competitive practices","","","state","agency action","Nevada Attorney General","civil","","","","","","Nevada","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://ag.nv.gov/uploadedFiles/agnvgov/Content/News/PR/Archive/2011pr.pdf  (scroll down)",""
"UnitedHealth Group, Incorporated","UnitedHealth Group","$15,875,000","$0","$15,875,000","2008","20080225","competition-related offenses","price-fixing or anti-competitive practices","","UnitedHealth agreed to make $15 million in charitable contributions and pay $875,000 to the state to resolve litigation concerning its acquisition of Sierra Health Services Inc.","state","agency action","Nevada Attorney General","civil","","","","","","Nevada","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://ag.nv.gov/uploadedFiles/agnvgov/Content/News/PR/Archive/2008pr.pdf  (scroll down)",""
"UnitedHealthcare","UnitedHealth Group","$50,000","$0","$50,000","2018","20180626","consumer-protection-related offenses","consumer protection violation","","Aetna, CareFirst BlueChoice, and UnitedHealthcare each agreed to pay $50,000 in settlement of allegations they provided flawed health directories that made it difficult for consumers to access mental health services.","state","agency action","District of Columbia Attorney General","civil","","","","","","District of Columbia","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://oag.dc.gov/release/attorney-general-racine-announces-insurers-will",""
"Optimum Choice, Inc.","UnitedHealth Group","$2,850,000","$0","$2,850,000","2008","20080131","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","District of Maryland","8:03-cv-3653","Pierro et al v. Optimum Choice, Inc.","settlement","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","",""
"United Healthcare Insurance Company","UnitedHealth Group","$9,700,000","$0","$9,700,000","2004","20040812","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","U.S. SUES TRAVELERS INSURANCE COMPANY, UNITED HEALTHCARE INSURANCE COMPANY FOR MEDICARE FRAUD; DEFENDANTS AGREE TO PAY $20.6 MILLION IN DAMAGES, US Fed News, August 12, 2004 (via Nexis).",""
"UnitedHealthCare of Arkansas, Inc.","UnitedHealth Group","$85,000","$0","$85,000","2018","20181127","consumer-protection-related offenses","insurance violation","","","state","agency action","Arkansas Insurance Department","civil","","","","","","Arkansas","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://insurance.arkansas.gov/uploads/resource/documents/2018-106-consent-order-unitedhealthcare-of-arkansas__inc.pdf",""
"Medsynergies, Inc.","UnitedHealth Group","$15,000","$0","$15,000","2014","20140924","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://dfi.az.gov/sites/default/files/media/MedsynergiesAmerifirst_Consent.pdf","This case was brought by the Arizona Department of Financial Institutions before it merged with the Department of Insurance."
"PacifiCare of California, Inc.","UnitedHealth Group","$25,000","$0","$25,000","2000","20001018","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare of California, Inc.","UnitedHealth Group","$250,000","$0","$250,000","2001","20010313","consumer-protection-related offenses","insurance violation","","Failure to pay claims timely/to pay interest on late claims/to include fee for failing to include interest.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/docs/83/715.pdf",""
"PacifiCare of California, Inc.","UnitedHealth Group","$25,000","$0","$25,000","2001","20010830","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2002","20020220","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare of California, Inc.","UnitedHealth Group","$15,000","$0","$15,000","2002","20020621","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare of California, Inc.","UnitedHealth Group","$10,000","$0","$10,000","2002","20021125","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare of California, Inc.","UnitedHealth Group","$30,000","$0","$30,000","2003","20030131","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$7,500","$0","$7,500","2004","20040223","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"PacifiCare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2004","20040304","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$7,500","$0","$7,500","2004","20040521","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"PacifiCare of California, Inc.","UnitedHealth Group","$7,500","$0","$7,500","2004","20040617","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare of California, Inc.","UnitedHealth Group","$7,500","$0","$7,500","2004","20040729","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
